name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,severerisk,sunrise,sunset,conditions,icon
choondacherry,21-02-2002,88.4,78.5,83.7,73.5,0,0,0,,,11.4,270,1014.4,14.3,,,2002-02-21T06:40:45,2002-02-21T18:32:56,Clear,clear-day
choondacherry,22-02-2002,89.3,78.5,83.6,69.4,0,0,0,,,11.4,272.2,1015.7,10,,,2002-02-22T06:40:22,2002-02-22T18:33:04,Clear,clear-day
choondacherry,23-02-2002,90.2,75.5,82.3,69.2,0,0,0,,,11.4,320,1014.8,5,,,2002-02-23T06:39:59,2002-02-23T18:33:11,Clear,clear-day
choondacherry,24-02-2002,90.2,74,83,57.7,0,0,0,,,11.4,284.7,1013,0,,,2002-02-24T06:39:35,2002-02-24T18:33:18,Clear,clear-day
choondacherry,25-02-2002,87.9,71.7,80.1,55.3,0,0,0,,,11.4,263.3,1012.1,1.3,,,2002-02-25T06:39:11,2002-02-25T18:33:24,Clear,clear-day
choondacherry,26-02-2002,89,72.2,80.3,65.2,0,0,0,,,9.2,290,1011.9,0,,,2002-02-26T06:38:45,2002-02-26T18:33:30,Clear,clear-day
choondacherry,27-02-2002,91.1,76.7,84.4,63.8,0,0,0,,,8.1,280,1011.2,12.9,,,2002-02-27T06:38:19,2002-02-27T18:33:35,Clear,clear-day
choondacherry,28-02-2002,89.7,80.7,85.6,67.7,0,0,0,,,11.4,278.9,1010.6,10,,,2002-02-28T06:37:53,2002-02-28T18:33:40,Clear,clear-day
choondacherry,01-03-2002,89.7,78.5,83.9,72.9,0,0,0,,,9.2,305,1010.8,7.5,,,2002-03-01T06:37:26,2002-03-01T18:33:44,Clear,clear-day
choondacherry,02-03-2002,89,79.1,84.2,70.4,0,0,0,,,11.4,243.3,1010.7,12.9,,,2002-03-02T06:36:58,2002-03-02T18:33:48,Clear,clear-day
choondacherry,03-03-2002,89,78.5,84,70.8,0,0,0,,,8.1,250,1010.2,10,,,2002-03-03T06:36:30,2002-03-03T18:33:52,Clear,clear-day
choondacherry,04-03-2002,88.4,77.3,83.5,72.5,0,0,0,,,9.2,290,1009.5,38.8,,,2002-03-04T06:36:01,2002-03-04T18:33:55,Partially cloudy,partly-cloudy-day
choondacherry,05-03-2002,89.3,80.7,85.6,68.6,0,0,0,,,10.3,291.9,1011.2,20,,,2002-03-05T06:35:32,2002-03-05T18:33:57,Clear,clear-day
choondacherry,06-03-2002,89.7,80,84.4,72,0,0,0,,,11.4,281.1,1011.6,23.8,,,2002-03-06T06:35:02,2002-03-06T18:33:59,Partially cloudy,partly-cloudy-day
choondacherry,07-03-2002,89.7,78.9,84.2,75.7,0,0,0,,,11.4,314.5,1011.6,25,,,2002-03-07T06:34:32,2002-03-07T18:34:01,Partially cloudy,partly-cloudy-day
choondacherry,08-03-2002,89,80,84.8,70.9,0,0,0,,,9.2,299.1,1010.8,16.7,,,2002-03-08T06:34:01,2002-03-08T18:34:03,Clear,clear-day
choondacherry,09-03-2002,88.4,80.7,84.7,75,0,0,0,,,11.4,255,1011.5,22.5,,,2002-03-09T06:33:30,2002-03-09T18:34:04,Partially cloudy,partly-cloudy-day
choondacherry,10-03-2002,90.2,80.3,85.3,61.1,0,0,0,,,11.4,233.8,1013.1,55,,,2002-03-10T06:32:59,2002-03-10T18:34:04,Partially cloudy,partly-cloudy-day
choondacherry,11-03-2002,91.5,77.6,84.1,71.2,0,0,0,,,9.2,301.5,1011.7,3.3,,,2002-03-11T06:32:27,2002-03-11T18:34:05,Clear,clear-day
choondacherry,12-03-2002,89.3,80.7,85,75.1,0,0,0,,,9.2,250,1011.2,15.7,,,2002-03-12T06:31:55,2002-03-12T18:34:05,Clear,clear-day
choondacherry,13-03-2002,89.9,81.8,86.1,69.6,0,0,0,,,11.4,287,1011.9,15.7,,,2002-03-13T06:31:23,2002-03-13T18:34:05,Clear,clear-day
choondacherry,14-03-2002,88.4,80.7,84.6,73,0,0,0,,,11.4,290,1012.1,40,,,2002-03-14T06:30:50,2002-03-14T18:34:05,Partially cloudy,partly-cloudy-day
choondacherry,15-03-2002,89.9,78.2,84,71.6,0.084,100,12.5,rain,,16.4,261.6,1011.4,60,,,2002-03-15T06:30:17,2002-03-15T18:34:04,"Rain, Partially cloudy",rain
choondacherry,16-03-2002,89.3,76.7,82.6,74.8,0.276,100,12.5,rain,,11.4,327.8,1010.7,54.3,,,2002-03-16T06:29:44,2002-03-16T18:34:03,"Rain, Partially cloudy",rain
choondacherry,17-03-2002,88.4,77.3,83.7,72.7,0.236,100,8.33,rain,,9.2,273,1010,60,,,2002-03-17T06:29:11,2002-03-17T18:34:02,"Rain, Partially cloudy",rain
choondacherry,18-03-2002,89.7,80,83.3,75.8,0,0,0,,,9.2,250,1011.2,14,,,2002-03-18T06:28:37,2002-03-18T18:34:01,Clear,clear-day
choondacherry,19-03-2002,91.7,78.2,84.8,69.1,0,0,0,,,11.4,253.2,1011.6,13.8,,,2002-03-19T06:28:03,2002-03-19T18:34:00,Clear,clear-day
choondacherry,20-03-2002,90.8,80,85.6,65.5,0,0,0,,,9.2,271.9,1010.2,21.4,,,2002-03-20T06:27:29,2002-03-20T18:33:59,Partially cloudy,partly-cloudy-day
